date,region,currency,amount
2026-04-10,APAC,JPY,2774
2026-09-10,APAC,JPY,2811
2026-01-10,APAC,JPY,2848
2026-04-10,APAC,JPY,2885
2026-09-10,APAC,JPY,2922
2026-01-10,APAC,JPY,2959
2026-04-10,APAC,JPY,2996
2026-09-10,APAC,JPY,3033
2026-01-10,APAC,JPY,3070
2026-04-10,APAC,JPY,3107
2026-09-10,APAC,JPY,3144
2026-01-10,APAC,JPY,3181
2026-04-10,APAC,JPY,3218
2026-09-10,APAC,JPY,3255
2026-01-10,APAC,JPY,3292
2026-04-10,APAC,JPY,3329
2026-09-10,APAC,JPY,3366
2026-01-10,APAC,JPY,3403
2026-04-10,APAC,JPY,3440
2026-09-10,APAC,JPY,3477
2026-01-10,APAC,JPY,3514
2026-04-10,APAC,JPY,3551
2026-09-10,APAC,JPY,3588
2026-01-10,APAC,JPY,3625
2026-04-10,APAC,JPY,3662
2026-09-10,APAC,JPY,3699
2026-01-10,APAC,JPY,3736
2026-04-10,APAC,JPY,3773
2026-09-10,APAC,JPY,3810
2026-01-10,APAC,JPY,3847
2026-04-10,APAC,JPY,3884
2026-09-10,APAC,JPY,3921
2026-01-10,APAC,JPY,3958
2026-04-10,APAC,JPY,3995
2026-09-10,APAC,JPY,4032
2026-01-10,APAC,JPY,4069
2026-04-10,APAC,JPY,4106
2026-09-10,APAC,JPY,4143
2026-01-10,APAC,JPY,4180
2026-04-10,APAC,JPY,4217
2026-09-10,APAC,JPY,4254
2026-01-10,APAC,JPY,4291
2026-04-10,APAC,JPY,4328
2026-09-10,APAC,JPY,4365
2026-01-10,APAC,JPY,4402
2026-04-10,APAC,JPY,4439
2026-09-10,APAC,JPY,4476
2026-01-10,APAC,JPY,4513
2026-04-10,APAC,JPY,4550
2026-09-10,APAC,JPY,4587
2026-01-10,APAC,JPY,4624
2026-04-10,APAC,JPY,4661
2026-09-10,APAC,JPY,4698
2026-01-10,APAC,JPY,4735
2026-04-10,APAC,JPY,4772
2026-09-10,APAC,JPY,4809
2026-01-10,APAC,JPY,4846
2026-04-10,APAC,JPY,4883
2026-09-10,APAC,USD,120
2026-01-10,APAC,USD,157
2026-04-10,APAC,USD,194
2026-09-10,APAC,USD,231
2026-01-10,APAC,USD,268
2026-04-10,APAC,USD,305
2026-09-10,APAC,USD,342
2026-01-10,APAC,USD,379
2026-04-10,APAC,USD,416
2026-09-10,APAC,USD,453
2026-01-10,APAC,USD,490
2026-04-10,APAC,USD,527
2026-09-10,APAC,USD,564
2026-01-10,APAC,USD,601
2026-04-10,APAC,USD,638
2026-09-10,APAC,EUR,675
2026-01-10,APAC,EUR,712
2026-04-10,APAC,EUR,749
2026-09-10,APAC,EUR,786
2026-01-10,APAC,EUR,823
2026-04-10,APAC,EUR,860
2026-09-10,APAC,EUR,897
2026-01-10,APAC,EUR,934
2026-04-10,APAC,EUR,971
2026-09-10,APAC,EUR,1008
2026-01-10,APAC,GBP,1045
2026-04-10,APAC,GBP,1082
2026-09-10,APAC,GBP,1119
2026-01-10,APAC,GBP,1156
2026-04-10,APAC,GBP,1193
2026-09-10,APAC,GBP,1230
2026-01-10,APAC,GBP,1267
2026-04-10,APAC,GBP,1304
2026-09-10,APAC,GBP,1341
2026-01-10,APAC,GBP,1378
2026-04-10,APAC,GBP,1415
2026-09-10,APAC,GBP,1452
2026-01-10,APAC,GBP,1489
2026-04-10,APAC,GBP,1526
2026-09-10,APAC,GBP,1563
2026-01-10,LATAM,USD,1600
2026-04-10,LATAM,USD,1637
2026-09-10,LATAM,USD,1674
2026-01-10,LATAM,USD,1711
2026-04-10,LATAM,USD,1748
2026-09-10,LATAM,USD,1785
2026-01-10,LATAM,USD,1822
2026-04-10,LATAM,USD,1859
2026-09-10,LATAM,USD,1896
2026-01-10,LATAM,USD,1933
2026-04-10,LATAM,USD,1970
2026-09-10,LATAM,USD,2007
2026-01-10,LATAM,USD,2044
2026-04-10,LATAM,USD,2081
2026-09-10,LATAM,USD,2118
2026-01-10,LATAM,USD,2155
2026-04-10,LATAM,USD,2192
2026-09-10,LATAM,USD,2229
2026-01-10,LATAM,USD,2266
2026-04-10,LATAM,USD,2303
2026-09-10,LATAM,USD,2340
2026-01-10,LATAM,USD,2377
2026-04-10,LATAM,USD,2414
2026-09-10,LATAM,USD,2451
2026-01-10,LATAM,USD,2488
2026-04-10,LATAM,USD,2525
2026-09-10,LATAM,USD,2562
2026-01-10,LATAM,USD,2599
2026-04-10,LATAM,USD,2636
2026-09-10,LATAM,USD,2673
2026-01-10,LATAM,USD,2710
2026-04-10,LATAM,USD,2747
2026-09-10,LATAM,USD,2784
2026-01-10,LATAM,USD,2821
2026-04-10,LATAM,USD,2858
2026-09-10,LATAM,USD,2895
2026-01-10,LATAM,USD,2932
2026-04-10,LATAM,USD,2969
2026-09-10,LATAM,USD,3006
2026-01-10,LATAM,USD,3043
2026-04-10,LATAM,EUR,3080
2026-09-10,LATAM,EUR,3117
2026-01-10,LATAM,EUR,3154
2026-04-10,LATAM,EUR,3191
2026-09-10,LATAM,EUR,3228
2026-01-10,LATAM,EUR,3265
2026-04-10,LATAM,EUR,3302
2026-09-10,LATAM,EUR,3339
2026-01-10,LATAM,EUR,3376
2026-04-10,LATAM,EUR,3413
2026-09-10,LATAM,EUR,3450
2026-01-10,LATAM,EUR,3487
2026-04-10,LATAM,EUR,3524
2026-09-10,LATAM,EUR,3561
2026-01-10,LATAM,EUR,3598
2026-04-10,LATAM,EUR,3635
2026-09-10,LATAM,EUR,3672
2026-01-10,LATAM,EUR,3709
2026-04-10,LATAM,EUR,3746
2026-09-10,LATAM,EUR,3783
2026-01-10,LATAM,EUR,3820
2026-04-10,LATAM,EUR,3857
2026-09-10,LATAM,EUR,3894
2026-01-10,LATAM,EUR,3931
2026-04-10,LATAM,EUR,3968
2026-09-10,LATAM,EUR,4005
2026-01-10,LATAM,EUR,4042
2026-04-10,LATAM,EUR,4079
2026-09-10,LATAM,EUR,4116
2026-01-10,LATAM,EUR,4153
2026-04-10,LATAM,EUR,4190
2026-09-10,LATAM,EUR,4227
2026-01-10,LATAM,EUR,4264
2026-04-10,LATAM,EUR,4301
2026-09-10,LATAM,EUR,4338
2026-01-10,LATAM,GBP,4375
2026-04-10,LATAM,GBP,4412
2026-09-10,LATAM,GBP,4449
2026-01-10,LATAM,GBP,4486
2026-04-10,LATAM,GBP,4523
2026-09-10,LATAM,GBP,4560
2026-01-10,LATAM,GBP,4597
2026-04-10,LATAM,GBP,4634
2026-09-10,LATAM,GBP,4671
2026-01-10,LATAM,GBP,4708
2026-04-10,LATAM,JPY,4745
2026-09-10,LATAM,JPY,4782
2026-01-10,LATAM,JPY,4819
2026-04-10,LATAM,JPY,4856
2026-09-10,LATAM,JPY,4893
2026-01-10,LATAM,JPY,130
2026-04-10,LATAM,JPY,167
2026-09-10,LATAM,JPY,204
2026-01-10,LATAM,JPY,241
2026-04-10,LATAM,JPY,278
2026-09-10,LATAM,JPY,315
2026-01-10,LATAM,JPY,352
2026-04-10,LATAM,JPY,389
2026-09-10,LATAM,JPY,426
2026-01-10,LATAM,JPY,463
